number,timestamp,value
578,1614068679,152199
579,1614068845,150948
580,1614068999,149593
581,1614069017,148675
582,1614069082,150874
583,1614069324,151629
584,1614069324,152434
585,1614069362,153243
586,1614069475,151636
587,1614069518,152507
588,1614069583,153502
589,1614069708,152264
590,1614069741,151187
591,1614069836,150400
592,1614069930,149503
593,1614069989,151222
594,1614070173,150209
595,1614070259,151107
596,1614070354,150100
597,1614070574,149200
598,1614070586,148351
599,1614070608,146700
600,1614070630,145968
601,1614070770,145060
602,1614070969,146865
603,1614070982,147658
604,1614071017,148705
605,1614071174,147756
606,1614071177,146186
607,1614071197,147359
608,1614071203,146592
609,1614071224,145732
610,1614071244,144742
611,1614071330,143888
612,1614071340,143009
613,1614071451,142000
614,1614071451,140635
615,1614071486,140852
616,1614071616,137224
617,1614071632,138915
618,1614071632,139725
619,1614071654,142306
620,1614071722,141235
621,1614071784,142672
622,1614071947,143757
623,1614071947,145077
624,1614071947,144676
625,1614072044,145423
626,1614072060,147628
627,1614072171,146300
628,1614072231,145558
629,1614072290,147171
630,1614072330,148275
631,1614072478,149273
632,1614072534,150032
633,1614072534,150966
634,1614072563,150207
635,1614072637,149358
636,1614072741,150278
637,1614072788,151463
638,1614072802,150679
639,1614073010,149080
640,1614073068,147699
641,1614073163,149024
642,1614073195,148102
643,1614073249,147320
644,1614073315,148163
645,1614073404,146572
646,1614073444,147898
647,1614073536,146941
648,1614073690,147706
649,1614073759,148496
650,1614073830,149318
651,1614074413,150127
652,1614074464,150899
653,1614074648,151896
654,1614075293,150592
655,1614075369,149780
656,1614075423,149000
657,1614075593,148112
658,1614075679,147211
659,1614075734,148315
660,1614075863,149465
661,1614076090,148697
662,1614076262,147726
663,1614076304,146982
664,1614076391,146085
665,1614076523,147026
666,1614076667,146232
667,1614076793,145139
668,1614076882,146676
669,1614077064,147752
670,1614077254,146729
671,1614077332,145978
672,1614077516,146857
673,1614077610,145887
674,1614077734,146617
675,1614077845,147554
676,1614078093,148330
677,1614078151,149461
678,1614078925,148608
679,1614078998,147835
680,1614079241,146928
681,1614079311,146131
682,1614079633,144979
683,1614079646,146512
684,1614079671,145677
685,1614079830,146505
686,1614079940,145662
687,1614080103,144668
688,1614080155,143707
689,1614080263,142496
690,1614080362,141330
691,1614080692,140606
692,1614080714,139700
693,1614080719,138711
694,1614080754,137673
695,1614080858,139462
696,1614080892,140876
697,1614081003,142247
698,1614081052,141531
699,1614081101,142772
700,1614081255,141747
701,1614081335,142481
702,1614081485,143422
703,1614081538,144362
704,1614081592,145670
705,1614081611,144730
706,1614081714,145908
707,1614081906,146828
708,1614082039,145449
709,1614082206,146207
710,1614082235,145351
711,1614082458,146251
712,1614082538,147089
713,1614082652,148124
714,1614082811,147225
715,1614082879,148243
716,1614082934,147430
717,1614083230,146626
718,1614083435,145832
719,1614083554,144369
720,1614083600,143401
721,1614083701,144418
